"GENDER","SCHOOL","MAXLOGIN","ISTEACHER","DAYREAD","ARTNUM","ISPAY","IS15VIP","ISPASS","EXERATE","READRATE","EXTENDRATE","TRANSRATE"
"女","未知",129,"否",1,1,"否","否","否",0,0,0,0
"男","未知",104,"否",1,1,"否","否","否",1,0,0,0
"男","未知",129,"否",1,1,"否","否","否",1,0,1,0
"女","未知",131,"否",1,1,"否","否","否",1,0,1,0
"未知","未知",107,"否",1,1,"否","否","否",0,0,0,0
"女","未知",90,"否",1,1,"否","否","否",1,0,0,0
"男","未知",84,"否",1,1,"否","否","否",1,0,0,0
"未知","未知",127,"否",1,1,"否","否","否",1,0,1,0
"未知","未知",127,"否",1,1,"否","否","否",1,0,1,0
"男","未知",131,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",90,"否",1,1,"否","否","否",0,0,0,0
"女","未知",104,"否",1,1,"否","是","否",1,0,0,0
"女","未知",97,"否",1,1,"否","否","否",1,0,1,1
"男","未知",104,"否",1,1,"否","是","否",0,0,0,0
"男","未知",128,"否",1,1,"否","否","否",1,1,1,1
"女","未知",96,"否",1,1,"否","否","否",1,0,0,0
"女","未知",117,"否",1,1,"否","是","否",1,0,1,1
"女","本科",93,"否",1,1,"否","否","否",1,0,1,1
"男","本科",99,"否",1,1,"否","是","否",1,0,1,0
"女","本科",121,"否",1,1,"否","否","否",1,0,0,0
"男","未知",131,"否",1,1,"否","是","否",1,0,0,0
"男","未知",112,"否",1,1,"否","否","否",1,0,1,1
"未知","本科",116,"是",1,1,"否","是","否",1,0,0,0
"未知","211",128,"是",1,1,"否","否","是",1,0,1,0
"女","未知",100,"否",1,1,"否","否","否",1,0,1,0
"女","211",128,"是",1,1,"否","是","是",1,1,1,1
"男","未知",120,"否",1,1,"否","否","否",0,0,0,0
"男","本科",130,"是",1,1,"否","是","是",1,0,0,0
"女","本科",98,"是",1,1,"否","是","否",1,0,0,0
"女","本科",126,"是",1,1,"否","是","是",1,0,1,0
"未知","本科",126,"是",1,1,"否","是","是",1,0,0,0
"未知","本科",103,"是",1,1,"否","是","是",1,0,0,0
"未知","本科",116,"是",1,1,"否","是","是",1,0,0,0
"男","本科",104,"是",1,1,"否","否","否",0,0,0,0
"未知","本科",98,"是",1,1,"否","否","是",1,0,0,0
"男","211",124,"是",1,1,"否","否","否",1,0,0,0
"女","未知",116,"否",1,1,"否","否","否",1,0,1,1
"女","本科",91,"否",1,1,"否","是","否",1,0,1,0
"男","未知",99,"否",1,1,"否","否","否",1,0,0,0
"男","未知",74,"否",1,1,"否","是","否",1,0,1,1
"男","未知",74,"否",1,1,"否","否","否",1,0,0,0
"未知","本科",98,"是",1,1,"否","是","是",1,1,0,1
"男","本科",97,"是",1,1,"否","是","否",0,0,0,0
"女","本科",99,"是",1,1,"否","是","是",1,0,0,0
"女","本科",97,"是",1,1,"否","是","是",1,1,0,1
"男","本科",97,"是",1,1,"否","是","否",1,0,0,0
"男","本科",97,"是",1,1,"否","是","是",1,0,1,1
"女","本科",128,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",126,"是",1,1,"否","是","是",1,0,0,0
"男","本科",97,"是",1,1,"否","是","否",0,0,0,0
"未知","本科",83,"是",1,1,"否","否","否",0,0,1,0
"男","本科",121,"是",1,1,"否","是","是",1,0,0,0
"未知","本科",97,"是",1,1,"否","是","否",0,0,0,0
"男","未知",80,"否",1,1,"否","否","否",1,0,1,1
"未知","本科",111,"是",1,1,"否","否","是",1,0,0,0
"男","本科",115,"是",1,1,"否","否","是",1,0,0,0
"男","本科",121,"是",1,1,"否","是","是",0,0,0,0
"女","未知",84,"否",1,1,"否","是","否",1,1,1,1
"女","本科",123,"是",1,1,"否","是","否",0,0,0,0
"男","未知",125,"否",1,1,"否","否","否",1,0,1,1
"女","未知",89,"是",1,1,"否","是","否",1,0,0,0
"女","本科",97,"是",1,1,"否","是","是",0,0,0,0
"女","本科",121,"是",1,1,"否","否","是",1,1,1,1
"男","本科",75,"否",1,1,"否","否","否",1,1,0,0
"未知","未知",100,"否",1,1,"否","否","否",1,1,1,1
"未知","未知",84,"否",1,1,"否","否","否",1,0,1,1
"女","211",101,"是",1,1,"否","否","否",0,0,0,0
"女","211",125,"是",1,1,"否","否","是",0,0,0,0
"男","211",129,"是",1,1,"否","是","是",0,1,0,0
"未知","211",99,"是",1,1,"否","否","否",0,0,0,0
"男","本科",83,"否",1,1,"否","否","否",1,0,0,0
"未知","211",111,"是",1,1,"否","否","否",1,1,0,0
"女","211",127,"是",1,1,"否","否","是",0,0,0,0
"未知","211",95,"是",1,1,"否","否","是",1,0,1,1
"男","本科",80,"否",1,1,"否","否","否",1,0,1,1
"男","211",73,"是",1,1,"否","否","否",1,0,0,0
"男","211",95,"是",1,1,"否","否","否",1,0,0,0
"男","211",129,"否",1,1,"否","是","否",1,0,1,0
"男","211",103,"是",1,1,"否","否","是",1,0,1,0
"女","未知",102,"否",1,1,"否","否","否",1,1,1,1
"女","211",129,"是",1,1,"否","否","是",0,0,0,0
"未知","211",75,"否",1,1,"否","否","否",1,0,1,1
"男","211",115,"是",1,1,"否","否","是",0,0,0,0
"男","未知",89,"否",1,1,"否","否","否",1,0,1,0
"男","本科",74,"是",1,1,"否","否","否",1,0,1,0
"未知","未知",95,"否",1,1,"否","是","否",1,0,0,0
"男","未知",96,"否",1,1,"否","否","否",1,0,1,1
"女","本科",127,"是",1,1,"否","是","是",1,0,0,0
"男","未知",128,"否",1,1,"否","否","否",1,0,0,0
"男","985",88,"否",1,1,"否","否","否",1,0,1,0
"女","本科",73,"否",1,1,"否","否","否",1,1,1,1
"女","未知",94,"否",1,1,"否","否","否",1,0,0,0
"未知","未知",113,"否",1,1,"否","否","否",1,0,1,1
"未知","未知",117,"否",1,1,"否","否","否",1,1,1,1
"未知","未知",94,"否",1,1,"否","否","否",0,0,1,0
"女","本科",123,"否",1,1,"否","否","否",1,1,1,1
"未知","未知",91,"否",1,1,"否","否","否",1,1,1,1
"男","未知",75,"否",1,1,"否","否","否",1,0,1,1
"女","本科",98,"是",1,1,"否","否","否",0,1,0,0
"女","未知",113,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",96,"否",1,1,"否","否","否",1,1,0,0
"女","本科",88,"否",1,1,"否","否","否",1,0,0,0
"男","本科",90,"是",1,1,"否","是","是",1,0,0,0
"女","本科",90,"是",1,1,"否","是","是",1,0,0,0
"未知","未知",72,"否",1,1,"否","否","否",1,0,0,1
"男","本科",94,"是",1,1,"否","是","否",0,0,0,0
"女","本科",90,"否",1,1,"否","是","否",1,0,0,1
"未知","未知",113,"否",1,1,"否","否","否",1,0,1,0
"未知","本科",89,"是",1,1,"否","是","否",1,0,0,0
"男","未知",121,"否",1,1,"否","是","否",0,0,0,0
"女","本科",86,"否",1,1,"否","否","否",1,1,1,1
"男","未知",123,"否",1,1,"否","是","否",1,0,1,1
"女","未知",106,"否",1,1,"否","否","否",1,0,0,0
"女","未知",79,"否",1,1,"否","否","否",0,0,0,0
"男","本科",120,"否",1,1,"否","否","否",0,0,1,0
"未知","未知",112,"否",1,1,"否","否","否",1,0,1,0
"女","未知",111,"否",1,1,"否","否","否",1,0,1,0
"女","本科",122,"否",1,1,"否","否","否",1,1,1,1
"女","未知",114,"否",1,1,"否","否","否",1,1,0,0
"女","未知",120,"否",1,1,"否","否","否",1,1,0,0
"女","未知",91,"否",1,1,"否","是","否",1,0,0,1
"男","未知",87,"否",1,1,"否","否","否",1,0,1,0
"女","本科",95,"否",1,1,"否","否","否",0,0,0,0
"女","本科",92,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",107,"否",1,1,"否","否","否",1,0,1,0
"女","未知",71,"否",1,1,"否","否","否",0,0,1,0
"女","未知",92,"否",1,1,"否","是","否",0,0,0,0
"女","211",121,"是",1,1,"否","是","是",1,0,1,1
"未知","本科",77,"是",1,1,"否","否","否",0,0,0,0
"女","本科",105,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",86,"是",1,1,"否","否","否",1,1,1,1
"女","本科",86,"是",1,1,"否","否","否",0,1,0,0
"女","未知",83,"否",1,1,"否","是","否",1,0,0,0
"男","未知",114,"否",1,1,"否","是","否",1,0,1,1
"女","本科",119,"否",1,1,"否","否","否",0,0,0,0
"女","未知",93,"否",1,1,"否","否","否",1,1,1,1
"女","未知",118,"否",1,1,"否","否","否",1,1,0,0
"男","未知",71,"否",1,1,"否","否","否",1,0,0,0
"未知","未知",118,"否",1,1,"否","否","否",1,1,1,1
"男","本科",84,"否",1,1,"否","否","否",0,0,0,0
"女","未知",74,"否",1,1,"否","否","否",1,0,0,0
"男","未知",104,"否",1,1,"否","否","否",1,0,0,0
"未知","本科",90,"否",1,1,"否","否","否",1,1,1,1
"男","未知",76,"否",1,1,"否","否","否",1,0,0,1
"女","未知",90,"否",1,1,"否","否","否",0,0,0,0
"男","本科",85,"否",1,1,"否","是","否",1,1,1,1
"女","未知",81,"否",1,1,"否","否","否",1,1,1,1
"女","未知",84,"否",1,1,"否","否","否",1,0,0,0
"未知","未知",93,"否",1,1,"否","否","否",0,0,0,0
"女","未知",106,"否",1,1,"否","否","否",1,0,0,0
"女","未知",66,"否",1,1,"否","否","否",0,0,0,0
"女","未知",120,"否",1,1,"否","是","否",1,0,0,0
"女","本科",82,"否",1,1,"否","是","否",1,0,0,0
"女","未知",115,"否",1,1,"否","否","否",1,0,0,0
"男","本科",89,"是",1,1,"否","是","否",1,0,1,1
"女","未知",94,"否",1,1,"否","是","否",0,0,0,0
"女","未知",88,"否",1,1,"否","否","否",1,0,1,0
"女","未知",72,"否",1,1,"否","否","否",1,0,0,0
"男","本科",75,"否",1,1,"否","否","否",1,0,0,0
"女","未知",78,"否",1,1,"否","否","否",1,0,0,0
"男","未知",117,"否",1,1,"否","否","否",1,0,0,0
"未知","211",73,"否",1,1,"否","否","否",1,0,0,1
"女","未知",85,"否",1,1,"否","否","否",1,0,0,0
"未知","本科",73,"否",1,1,"否","否","否",1,0,0,1
"男","本科",113,"否",1,1,"否","否","否",1,0,1,1
"女","本科",109,"否",1,1,"否","否","否",1,0,0,0
"男","未知",114,"否",1,1,"否","否","否",1,0,0,0
"女","本科",72,"否",1,1,"否","是","否",1,0,1,1
"未知","未知",75,"否",1,1,"否","是","否",1,0,0,0
"男","211",104,"否",1,1,"否","否","否",0,0,0,0
"男","未知",84,"否",1,1,"否","是","否",1,0,0,0
"女","本科",84,"否",1,1,"否","是","否",1,0,0,0
"女","211",80,"否",1,1,"否","是","否",1,0,1,1
"未知","本科",87,"否",1,1,"否","否","否",0,0,0,0
"女","未知",119,"否",1,1,"否","是","否",1,0,1,0
"女","本科",73,"否",1,1,"否","否","否",1,0,0,1
"未知","本科",80,"否",1,1,"否","是","否",1,1,0,0
"男","未知",86,"否",1,1,"否","否","否",1,1,1,1
"女","本科",74,"否",1,1,"否","否","否",1,0,0,0
"女","未知",75,"否",1,1,"否","否","否",1,1,0,0
"女","未知",65,"否",1,1,"否","否","否",0,0,0,0
"男","本科",81,"否",1,1,"否","否","否",0,0,0,0
"男","本科",106,"否",1,1,"否","否","否",0,1,0,0
"男","未知",109,"否",1,1,"否","否","否",0,0,0,0
"女","本科",82,"否",1,1,"否","否","否",1,0,0,0
"未知","本科",66,"否",1,1,"否","否","否",1,1,1,1
"男","985",96,"是",1,1,"否","是","否",1,1,1,1
"女","本科",72,"否",1,1,"否","否","否",0,0,0,0
"女","本科",79,"否",1,1,"否","否","否",1,0,1,1
"未知","本科",117,"否",1,1,"否","否","否",1,0,1,1
"男","未知",102,"否",1,1,"否","否","否",1,0,1,1
"女","本科",102,"否",1,1,"否","否","否",1,0,1,1
"女","未知",92,"否",1,1,"否","是","否",1,0,0,1
"男","未知",81,"否",1,1,"否","否","否",0,0,0,0
"男","本科",83,"是",1,1,"否","否","否",1,0,1,1
"女","未知",73,"否",1,1,"否","否","否",1,1,1,1
"女","本科",103,"否",1,1,"否","是","否",0,0,0,0
"女","未知",91,"否",1,1,"否","是","否",1,0,0,0
"男","985",67,"否",1,1,"否","否","否",1,1,1,1
"女","本科",107,"否",1,1,"否","否","否",1,1,0,1
"男","本科",65,"否",1,1,"否","否","否",1,1,1,0
"未知","未知",115,"否",1,1,"否","是","否",0,0,0,0
"女","未知",85,"否",1,1,"否","否","否",1,1,1,0
"女","未知",106,"否",1,1,"否","否","否",0,0,0,0
"男","本科",113,"否",1,1,"否","是","否",1,0,0,0
"女","本科",115,"否",1,1,"否","是","否",1,0,0,0
"男","未知",79,"否",1,1,"否","否","否",1,0,0,0
"女","未知",116,"否",1,1,"否","否","否",1,0,1,0
"男","未知",64,"否",1,1,"否","否","否",1,0,0,0
"女","未知",106,"否",1,1,"否","否","否",1,1,1,0
"女","本科",77,"否",1,1,"否","否","否",0,0,1,0
"女","211",62,"否",1,1,"否","否","否",0,0,0,0
"男","本科",82,"是",1,1,"否","否","否",1,0,0,0
"男","本科",86,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",88,"否",1,1,"否","是","否",1,0,1,1
"男","本科",62,"否",1,1,"否","否","否",1,0,0,0
"女","本科",115,"否",1,1,"否","否","否",1,1,1,1
"男","未知",71,"否",1,1,"否","否","否",1,0,0,0
"未知","未知",66,"否",1,1,"否","否","否",0,0,0,0
"女","本科",65,"否",1,1,"否","否","否",1,0,0,0
"未知","本科",90,"否",1,1,"否","否","否",0,0,0,0
"男","本科",105,"是",1,1,"否","是","否",1,0,1,1
"男","未知",84,"否",1,1,"否","否","否",0,0,0,0
"女","本科",75,"否",1,1,"否","否","否",1,1,1,0
"女","未知",76,"否",1,1,"否","否","否",1,1,1,1
"未知","未知",113,"否",1,1,"否","是","否",1,0,0,0
"男","未知",71,"否",1,1,"否","否","否",1,1,0,0
"女","本科",71,"否",1,1,"否","是","否",1,0,0,1
"未知","未知",65,"否",1,1,"否","否","否",1,1,0,1
"女","本科",83,"否",1,1,"否","是","否",1,0,0,0
"女","未知",106,"否",1,1,"否","是","否",1,0,1,1
"男","未知",63,"否",1,1,"否","否","否",1,0,1,1
"女","211",104,"否",1,1,"否","否","否",1,1,1,0
"未知","未知",85,"否",1,1,"否","是","否",0,1,0,0
"男","未知",114,"否",1,1,"否","否","否",1,1,0,0
"未知","未知",78,"否",1,1,"否","否","否",1,0,0,0
"未知","未知",101,"否",1,1,"否","是","否",1,0,1,1
"女","本科",86,"否",1,1,"否","否","否",0,0,0,0
"女","未知",60,"是",1,1,"否","否","否",1,0,0,1
"女","本科",60,"否",1,1,"否","否","否",1,0,1,1
"女","未知",83,"否",1,1,"否","否","否",1,1,1,0
"未知","未知",76,"否",1,1,"否","否","否",1,0,1,0
"男","985",96,"否",1,1,"否","是","否",1,0,1,1
"女","本科",102,"否",1,1,"否","是","否",1,0,0,0
"男","未知",59,"否",1,1,"否","否","否",1,0,0,0
"男","本科",110,"否",1,1,"否","否","否",0,0,0,0
"女","本科",61,"否",1,1,"否","否","否",1,1,0,0
"女","本科",103,"否",1,1,"否","否","否",1,1,1,1
"女","未知",95,"否",1,1,"否","否","否",0,0,0,0
"女","211",103,"否",1,1,"否","是","否",1,1,0,1
"男","本科",77,"否",1,1,"否","是","否",1,0,0,1
"女","本科",77,"是",1,1,"否","否","否",1,1,1,1
"女","未知",81,"否",1,1,"否","否","否",0,0,0,0
"未知","211",105,"是",1,1,"否","否","否",1,0,0,0
"女","未知",104,"否",1,1,"否","是","否",1,0,0,1
"未知","本科",61,"否",1,1,"否","否","否",1,0,1,1
"未知","本科",109,"否",1,1,"否","否","否",1,1,1,1
"女","未知",82,"否",1,1,"否","否","否",1,0,0,0
"男","未知",88,"否",1,1,"否","否","否",0,0,0,0
"男","本科",101,"否",1,1,"否","否","否",0,0,0,0
"女","211",68,"否",1,1,"否","否","否",1,0,1,1
"女","本科",99,"否",1,1,"否","是","否",1,1,1,1
"女","本科",67,"否",1,1,"否","否","否",1,0,0,1
"女","本科",60,"否",1,1,"否","是","否",1,1,1,1
"女","本科",103,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",85,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",75,"否",1,1,"否","是","否",0,0,0,0
"男","211",60,"否",1,1,"否","否","否",1,1,1,1
"女","本科",83,"否",1,1,"否","否","否",0,1,0,1
"女","本科",89,"否",1,1,"否","否","否",1,0,0,0
"女","本科",108,"否",1,1,"否","否","否",0,1,0,0
"女","本科",61,"否",1,1,"否","否","否",1,1,0,0
"未知","未知",77,"否",1,1,"否","否","否",1,0,1,1
"男","未知",79,"否",1,1,"否","是","否",1,0,1,1
"女","985",101,"否",1,1,"否","是","否",0,0,0,0
"女","本科",57,"否",1,1,"否","否","否",1,0,0,0
"未知","本科",85,"否",1,1,"否","否","否",1,1,1,1
"男","本科",78,"否",1,1,"否","是","否",1,0,0,0
"女","本科",93,"否",1,1,"否","否","否",0,0,0,0
"男","本科",107,"是",1,1,"否","是","否",1,0,1,0
"女","本科",110,"否",1,1,"否","否","否",1,0,0,1
"男","本科",75,"是",1,1,"否","否","否",1,1,0,0
"未知","本科",56,"否",1,1,"否","否","否",0,0,1,1
"男","本科",107,"否",1,1,"否","是","否",1,0,0,1
"男","未知",78,"否",1,1,"否","是","否",1,0,0,0
"女","专科",102,"是",1,1,"否","否","否",1,0,1,1
"女","本科",88,"否",1,1,"否","否","否",1,1,1,1
"女","本科",57,"否",1,1,"否","否","否",1,1,1,1
"男","本科",105,"否",1,1,"否","是","否",0,0,0,1
"女","本科",72,"否",1,1,"否","否","否",0,0,0,0
"女","本科",69,"否",1,1,"否","否","否",0,0,0,0
"男","本科",98,"否",1,1,"否","否","否",1,0,1,0
"未知","本科",77,"否",1,1,"否","否","否",1,1,0,0
"未知","211",59,"否",1,1,"否","是","否",1,0,0,0
"未知","本科",65,"否",1,1,"否","否","否",1,0,0,0
"女","本科",73,"否",1,1,"否","否","否",1,0,1,1
"女","211",107,"否",1,1,"否","否","否",0,0,0,0
"女","本科",101,"否",1,1,"否","是","否",1,0,1,1
"男","本科",61,"否",1,1,"否","否","否",0,0,0,0
"男","985",91,"否",1,1,"否","是","否",1,0,1,1
"男","本科",72,"否",1,1,"否","否","否",0,0,0,0
"男","本科",73,"否",1,1,"否","否","否",0,0,0,0
"未知","211",75,"否",1,1,"否","否","否",0,0,0,0
"男","未知",93,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",90,"否",1,1,"否","是","否",0,0,0,0
"女","未知",98,"否",1,1,"否","是","否",1,0,0,1
"女","未知",98,"否",1,1,"否","是","否",1,0,0,0
"女","本科",56,"否",1,1,"否","否","否",0,1,1,0
"男","未知",66,"否",1,1,"否","是","否",1,0,0,0
"女","未知",64,"否",1,1,"否","否","否",1,0,1,0
"女","未知",105,"否",1,1,"否","否","否",1,1,0,0
"未知","211",89,"否",1,1,"否","否","否",1,1,1,1
"女","未知",64,"否",1,1,"否","否","否",0,1,1,1
"女","本科",95,"否",1,1,"否","否","否",1,1,0,0
"男","未知",79,"否",1,1,"否","否","否",1,1,1,1
"未知","未知",73,"否",1,1,"否","是","否",1,0,0,0
"女","未知",59,"否",1,1,"否","否","否",0,0,0,0
"男","985",56,"否",1,1,"否","否","否",0,0,0,0
"男","本科",57,"否",1,1,"否","否","否",0,0,0,0
"男","未知",50,"否",1,1,"否","否","否",0,0,0,0
"女","未知",80,"否",1,1,"否","是","否",1,0,1,1
"女","未知",97,"否",1,1,"否","否","否",1,0,0,1
"女","本科",93,"否",1,1,"否","否","否",1,1,0,0
"男","本科",88,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",52,"否",1,1,"否","否","否",0,0,0,0
"女","本科",63,"否",1,1,"否","否","否",1,1,0,0
"女","未知",84,"否",1,1,"否","否","否",1,0,0,0
"女","未知",53,"否",1,1,"否","否","否",1,0,0,0
"未知","211",46,"否",1,1,"否","否","否",1,0,1,1
"女","本科",47,"否",1,1,"否","否","否",1,0,0,0
"男","未知",88,"否",1,1,"否","否","否",1,0,0,1
"未知","未知",41,"否",1,1,"否","否","否",1,1,0,0
"未知","未知",56,"否",1,1,"否","否","否",1,0,1,0
"女","本科",57,"是",1,1,"否","否","否",0,0,0,0
"女","本科",80,"否",1,1,"否","否","否",0,0,0,0
"女","本科",57,"是",1,1,"否","否","否",0,0,0,0
"男","未知",40,"否",1,1,"否","否","否",1,0,0,0
"女","未知",64,"否",1,1,"否","是","否",1,0,0,0
"女","未知",66,"否",1,1,"否","否","否",0,0,1,1
"男","未知",64,"否",1,1,"否","是","否",0,0,0,0
"女","本科",63,"否",1,1,"否","是","否",0,0,0,0
"女","本科",85,"否",1,1,"否","否","否",1,1,1,0
"女","本科",37,"否",1,1,"否","否","否",1,0,1,0
"女","本科",54,"否",1,1,"否","否","否",1,1,1,1
"男","未知",77,"否",1,1,"是","是","否",0,0,0,0
"男","本科",54,"否",1,1,"否","否","否",1,0,1,0
"女","本科",58,"否",1,1,"否","否","否",1,0,0,0
"女","未知",73,"否",1,1,"否","否","否",1,0,1,1
"女","未知",30,"否",1,1,"否","否","否",1,1,1,1
"男","未知",65,"否",1,1,"否","否","否",1,1,1,1
"女","未知",36,"否",1,1,"否","否","否",1,0,0,0
"女","本科",78,"否",1,1,"否","否","否",1,0,0,0
"男","未知",51,"否",1,1,"否","否","否",0,0,0,0
"男","未知",48,"否",1,1,"否","是","否",1,0,1,0
"女","未知",68,"否",1,1,"否","否","否",0,0,0,1
"未知","未知",22,"否",1,1,"否","否","否",1,0,0,0
"女","211",25,"否",1,1,"否","否","否",1,1,1,1
"女","本科",23,"否",1,1,"否","否","否",1,1,1,1
"男","未知",42,"否",1,1,"否","否","否",1,0,0,0
"男","未知",73,"否",1,1,"否","是","否",1,1,0,0
"女","未知",62,"否",1,1,"否","是","否",1,0,0,1
"男","211",61,"否",1,1,"否","否","否",0,0,1,0
"未知","本科",67,"否",1,1,"否","否","否",1,1,1,0
"男","未知",65,"否",1,1,"否","否","否",0,0,1,0
"女","未知",17,"否",1,1,"否","是","否",1,1,1,1
"男","本科",25,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",17,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",37,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",60,"否",1,1,"否","否","否",0,0,0,0
"女","未知",64,"否",1,1,"否","否","否",0,0,0,0
"女","未知",55,"否",1,1,"否","是","否",1,1,1,1
"未知","未知",64,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",13,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",13,"否",1,1,"否","是","否",1,1,0,1
"未知","未知",64,"否",1,1,"否","是","否",0,0,0,0
"男","未知",57,"否",1,1,"否","是","否",1,1,0,0
"未知","未知",20,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",26,"否",1,1,"否","是","否",0,0,0,0
"男","未知",32,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",49,"否",1,1,"否","是","否",1,0,0,1
"未知","未知",20,"否",1,1,"否","是","否",1,1,0,0
"未知","未知",14,"否",1,1,"否","否","否",0,0,0,0
"男","211",28,"是",1,1,"否","是","是",1,0,0,0
"男","未知",47,"否",1,1,"否","是","否",1,1,1,0
"男","211",26,"是",1,1,"否","是","否",0,0,0,0
"未知","未知",32,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",9,"否",1,1,"否","是","否",0,1,0,0
"未知","未知",46,"否",1,1,"否","是","否",0,0,0,0
"女","未知",20,"否",1,1,"否","是","否",1,1,1,0
"女","未知",50,"否",1,1,"否","是","否",1,0,1,1
"女","未知",23,"否",1,1,"否","是","否",0,0,0,0
"女","本科",8,"是",1,1,"否","是","否",0,0,0,0
"未知","未知",16,"否",1,1,"否","否","否",0,0,0,0
"未知","本科",29,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",59,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",58,"否",1,1,"否","是","否",0,0,0,0
"未知","未知",59,"否",1,1,"否","是","否",0,1,0,0
"未知","未知",53,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",24,"否",1,1,"否","是","否",1,0,1,1
"未知","未知",6,"否",1,1,"否","否","否",0,0,0,0
"男","本科",50,"是",1,1,"否","是","否",1,0,0,0
"男","本科",8,"是",1,1,"否","是","否",1,0,0,0
"男","本科",29,"是",1,1,"否","是","是",1,1,0,0
"男","专科",51,"是",1,1,"否","否","否",0,0,0,0
"未知","未知",41,"否",1,1,"否","是","否",1,1,1,1
"未知","未知",57,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",56,"否",1,1,"否","是","否",1,0,0,0
"女","本科",6,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",43,"否",1,1,"否","是","否",0,1,0,0
"女","本科",8,"是",1,1,"否","是","否",1,0,0,0
"未知","本科",56,"是",1,1,"否","是","否",1,0,0,0
"未知","未知",42,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",5,"否",1,1,"否","是","否",1,0,0,1
"未知","未知",49,"否",1,1,"否","是","否",0,0,0,0
"男","本科",46,"是",1,1,"否","是","是",1,0,0,0
"未知","未知",54,"否",1,1,"否","是","否",1,0,0,0
"女","未知",18,"否",1,1,"否","是","否",1,1,0,0
